Exercise Name,Equipment,Variation,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Synergist_Muscles,Stabilizer_Muscles,Antagonist_Muscles,Dynamic_Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,parent_id
Neck Flexion,Cable,No,Basic or Auxiliary,Isolated,Pull,Sit on bench facing away from middle pulley. Place neck in harness cable attachment. Place arms on lower thighs for support.,Move head away from pulley by bending neck forward until chin touches upper chest. Return head by hyperextending neck and repeat.,"Sternocleidomastoid,","None, ","Rectus Abdominis, Obliques, ",,,Neck,2,Sternocleidomastoid,
Neck Flexion,Lever (plate loaded),No,Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.,Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,"Sternocleidomastoid,","None, ","Latissimus Dorsi, Deltoid, Posterior, Rhomboids, Trapezius, Middle, Trapezius, Lower, Triceps Brachii, Rectus Abdominis, Obliques, ",,,Neck,2,Sternocleidomastoid,
Lateral Neck Flexion,Lever (plate loaded),No,Auxiliary,Isolated,Pull,Sit on seat in machine with feet apart   . Position padded lever on side of head. Center body so neck is in line with lever axis. Grasp handles for support.,Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,"Sternocleidomastoid,","Splenius, Erector Spinae, Levator Scapulae, Trapezius, Upper, ","Latissimus Dorsi, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, Pectoralis Minor, ",,,Neck,2,"Sternocleidomastoid, Levator Scapulae",
Neck Flexion,Lever (selectorized),No,Basic or Auxiliary,Isolated,Pull,Sit on seat in machine. Position padded lever on face. Position body so neck is in line with lever axis. Grasp handles for support.,Move head forward by flexing neck until chin touches upper chest. Return head by hyperextending neck and repeat.,"Sternocleidomastoid,","None, ","Latissimus Dorsi, Deltoid, Posterior, Rhomboids, Trapezius, Middle, Trapezius, Lower, Triceps Brachii, Rectus Abdominis, Obliques, ",,,Neck,2,Sternocleidomastoid,
Lateral Neck Flexion,Lever (selectorized),No,Auxiliary,Isolated,Pull,Sit on seat in machine with feet apart. Position side of head on padded lever. Center body so neck is in line with lever axis. Grasp handles for support.,Move head down to side by laterally flexing neck. Return head to opposite side and repeat. Sit in machine backwards and continue with opposite side.,"Sternocleidomastoid,","Splenius, Erector Spinae, Levator Scapulae, Trapezius, Upper, ","Latissimus Dorsi, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Coracobrachialis, Pectoralis Minor, ",,,Neck,2,"Sternocleidomastoid, Levator Scapulae",
Neck Flexion,Weighted,No,Basic or Auxiliary,Isolated,Pull,Place folded towel on weight plate. Lie supine perpendicular on bench with low back and hips extending off and feet on floor. Place weight and towel on forehead. Place plates on forehead with towel placed in between for comfort.,Move head up by flexing neck until chin touches upper chest. Return by hyperextending neck and repeat.,"Sternocleidomastoid,","None, ","Rectus Abdominis, Obliques, ",,,Neck,2,Sternocleidomastoid,
Lateral Neck Flexion,Weighted,No,Auxiliary,Isolated,Pull,Place folded towel on weight plate. Lie on bench on side with knees and hips bent and arm hanging over edge. Position weight and towel on side of upper head. Hold weight on side of head with hand of upper arm. Place hand of lower arm on floor for support.,Move head up to side by laterally flexing neck. Lower head to opposite side and repeat. Lie on other side and continue.,"Sternocleidomastoid,","Splenius, Erector Spinae, Levator Scapulae, Trapezius, Upper, ",,,,Neck,2,"Sternocleidomastoid, Levator Scapulae",
Wall Front Neck Bridge,Body Weight,No,Basic or Auxiliary,Isolated,Push & Pull,"Place small or folded cushioned mat on wall or column approximately chest height. With hands supporting mat on each side, stand back so feet are away from wall or column with body leaning forward. Place top of forehead on mat. Fold hands behind low back or hips.",Roll down onto forehead until nose touches mat. Roll up onto top of head until chin touches upper chest. Repeat.,"Sternocleidomastoid,","Splenius, Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, ","Rectus Abdominis, Obliques, Quadriceps, ","Erector Spinae, ",,Neck,3,"Sternocleidomastoid, Upper Trapezius",
Wall Side Neck Bridge,Body Weight,No,Auxiliary,Isolated,Pull,"Place small or folded cushioned mat on column or at end of wall approximately shoulder height. With hands supporting mat, stand with side toward mat. Step far to side so feet are away from wall or column forward. Place side of head on mat with shoulder extending over end of adjacent side of column or wall so body leans to side. Fold hands behind low back or hips.",Push side of head into mat and roll onto top of head moving body away from mat. Return to original position by rolling back down to side of head while bringing shoulder back over end of column or wall. Repeat.,"Sternocleidomastoid,","Splenius, Trapezius, Upper, Levator Scapulae, Erector Spinae, Cervicis & Capitis Fibers, ","Gluteus Medius, Gluteus Minimus, ",,,Neck,3,"Sternocleidomastoid, Upper Trapezius",
Neck Flexion,Suspended,No,Basic or Auxiliary,Isolated,Pull,Place belt or strap around end of suspension trainer. Face away from suspension trainer with belt in hand. Place belt around head above ears and clamp belt snugly around head by tightly gripping ends close to back of mid-head. Step forward until suspension trainer is taut. Lean forward at angle against support of belt and suspension trainer by stepping back slightly while keeping head and body straight.,Increase angle of body by bowing head until chin touches upper chest. Lower angle of body by raising head. Repeat.,"Sternocleidomastoid,","Splenius, Trapezius, Upper, Erector Spinae, Cervicis & Capitis Fibers, ",,,,Neck,2,Sternocleidomastoid,
